	Title	Location	Company	Salary	Synopsis	mean_annual_salary
1852	Clinical Lab Scientist (CLS) $1,000 SIGN ON BONUS (relocate...	California	Modoc Medical Center	$44.72 - $65.67 an hour	Ability to make appropriate recommendations or conclusions, given the data obtained.Demonstrates the ability to compile and organize data using Microsoft…	110390.0
1853	Technical Program Manager - 4311670	San Francisco, CA+1 location	Accenture	$70 - $100 an hour	Conduct weekly project meetings and follow ups with engineers, scientists and analysts.Accenture Flex employees work in their local metro area onsite at the…	170000.0
1854	Bioinformatics Engineer	Redwood City, CA 94065	CyberCoders	$120,000 - $180,000 a year	Work collaboratively with computational and laboratory scientists to execute complex analyses and streamline bioinformatics workflows.	150000.0
1855	Senior Software Engineer - Machine Learning Platform	Remote in San Francisco, CA 94107	Discord	$192,600 a year	The ML Platform Team at Discord is focused on creating a state-of-the-art Machine Learning platform to power features used by millions of Discord users…	192600.0
1856	Senior Data Scientist [Remote]	Remote in San Francisco, CA 94151+1 location	Braintrust	$120 - $160 an hour	The candidate needs to be able to craft strong data science based initiatives and has a strong background in data analysis using signal processing, machine…	280000.0
1857	SENIOR DATA SCIENTIST	San Francisco, CA+3 locations	Harnham	$140,000 - $160,000 a year	Help clean data and implement validation.Industry experience applying ML to biological data.Desire to build a data science ecosystem from the ground up.	150000.0
1858	Senior Marketing Data Analyst	Remote in San Francisco, CA 94111	CyberCoders	$120,000 - $150,000 a year	Experience creating data pipelines using Airflow.Work end-to-end with the data to clarify and drive the business use case, evaluate available data, etc.	135000.0
1859	Senior Data Scientist	Remote in San Francisco, CA	Gtmhub	$130,000 - $160,000 a year	Maintain day-to-day data aggregation responsibilities and the integrity of the data;Familiarity with data management tools;What we’re looking for.	145000.0
1860	Senior Data Scientist at Rent-to-Own Startup	Remote in San Francisco, CA 94109+6 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	155000.0
1861	Product Manager, Data and Machine Learning	Foster City, CA 94404 (Town Center area)	DISH	$124,200 a year	Demonstrated entrepreneurial or intrapreneurial experience collaborating with data scientists, engineers, and designers solving customer problems with a data…	124200.0
1862	Data Plane Engineer	Remote in Burlingame, CA 94010+18 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Who is Recruiting from Scratch:	170000.0
1863	Senior Product Manager, Truth Profile Marketing Decision Sci...	San Francisco, CA 94105 (Financial District/South Beach area)	Salesforce	$128,000 a year	We take a Trust first approach to ensure data is collected and used appropriately and that our data products can be relied on by all collaborators.	128000.0
1864	Data Plane Engineer	Remote in Burlingame, CA 94010+9 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Who is Recruiting from Scratch:	170000.0
1865	Senior Data Scientist	Remote in San Francisco, CA 94133+1 location	Braintrust	$120 - $160 an hour	The candidate needs to be able to craft strong data science based initiatives and has a strong background in data analysis using signal processing, machine…	280000.0
1866	Junior Data Scientist	San Jose, CA 95121 (Evergreen area)	CyberCoders	$90,000 - $120,000 a year	Apply relevant data mining techniques and/or Machine Learning algorithms to improve product intelligence.Deliver the trained model to production design, build…	105000.0
1867	Marketing Data Scientist	Cupertino, CA	Synergis	$119,809 - $255,131 a year	Provide insight at scale through building automated reports and data pipelines.Experience with turning data into insights at scale using algorithms and machine…	187470.0
1868	REMOTE Senior Data Scientist	Remote in Palo Alto, CA 94304	CyberCoders	$150,000 - $180,000 a year	Implement automated solutions for ensuring data quality and delivery.Ideate and implement data-driven methodologies to help scale model performance across…	165000.0
1869	Senior Data Scientist	Santa Clara, CA	iTrending Solutions	$50 - $60 an hour	Knowledge of data analysis techniques.Experience in the implementation and validation of big data algorithms and models.	110000.0
1870	Data Scientist	Santa Clara, CA	VIR Consultant LLC	$65 - $75 an hour	Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment.	140000.0
1871	Data Scientist	Santa Clara, CA 95050+1 location	Cimetrix by PDF Solutions	$150,000 - $200,000 a year	Ability to create model-ready data from raw data, at scale.Help design, implement, and validate the ML Pipelines while collaborating with other data scientists…	175000.0
1872	Data Scientist	San Jose, CA	Digital Dhara LLC	$60 - $70 an hour	Familiarity with data management tools.Strong data management technology background.Big data: 5 years (Preferred).Analytical and problem-solving skills.	130000.0
1873	Data Scientist	Santa Clara, CA 95050	American nexus Trading inc	$60 - $65 an hour	You will use your knowledge of the ServiceNow HR Service Delivery (HRSD) application to optimize our HR operations and help them drive business results with a…	125000.0
1874	Data Scientist, Operations Data Science	Hybrid remote in Mountain View, CA	Google	$135,000 - $145,000 a year	2 years of relevant work experience (e.g., as a data scientist) or equivalent.4 years of relevant work experience (e.g., as a data scientist), including…	140000.0
1875	Data Scientist	Remote in Cupertino, CA+1 location	Comcentric	$139,000 - $276,000 a year	Mentor and grow other software engineers, data scientists, and ML engineers across teams.Solid knowledge of data structures and algorithms.	207500.0
1876	Lead Data Scientist	Santa Clara, CA	Tech Intellectuals	Up to $200,000 a year	Desirable - Experience in working as data scientist on any of BFSI related Critical use cases.Knowledge on Feature Engineering, Exploratory data analysis, Data…	200000.0
1877	Senior Data Analyst	Remote in Mountain View, CA	Lark Health	$138,000 a year	Experience working closely with data engineering teams preferred but not required.Experience translating data into business insights using analytics and…	138000.0
1878	Data Scientist	Mountain View, CA 94041	SENS Research Foundation	From $55,000 a year	We are looking for a data scientist to advise on all aspects of data analysis across the entirety of the SENS research programme.	55000.0
1879	Principal Data Scientist	Santa Clara, CA+1 location	Palo Alto Networks	$129,900 a year	Collaborate with data engineers to identify data preparation, cleansing, and ETL pipelines.Experience designing unsupervised machine learning algorithms using…	129900.0
1880	Senior Data Scientist at Rent-to-Own Startup	Remote in Sunnyvale, CA+9 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	155000.0
1881	Applied Scientist, Machine Learning	Sunnyvale, CA	Amazon.com Services LLC	$262,800 - $350,000 a year	Exposure to high-velocity time series data processing techniques.You’ll be developing state-of-the-art machine learning skills daily and collaborating with…	306400.0
1882	Senior Data Scientist/Machine Learning Engineer	Remote in Sunnyvale, CA+73 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…	170000.0
1883	Experienced Aircraft Health Machine Learning Researcher	San Jose, CA	BOEING	$101,430 - $188,370 a year	Additionally, you will develop data mining approaches reconciling parametric system and flight characteristic data that was collected in the fleet management…	144900.0
1884	Data Plane Engineer	Remote in San Jose, CA+13 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.	170000.0
1885	Product Manager,Product Analytics & Data Science(sql, python...	Palo Alto, CA	Tellus Solutions	$88.00 - $88.52 an hour	This role works closely with a global team of data scientists, analysts and analytics leaders.You will engage closely with Customer Success Operations and…	176519.99999999997
1886	Senior Staff Software Engineer, Machine Learning, Recommenda...	Hybrid remote in Mountain View, CA+2 locations	Google	$198,000 - $212,000 a year	8 years of experience in software development and with data structures/algorithms.We're looking for engineers who bring fresh ideas from all areas, including…	205000.0
1887	Machine Learning Engineer	Palo Alto, CA+1 location	Mercari	$141,900 a year	Working closely with Growth and Marketing teams helping design and build machine learning models utilizing massive amounts of data.	141900.0
1888	Lead ML Engineer - Risk	Remote in Santa Clara, CA	GoDaddy	$188,000 - $235,000 a year	Expert level data science knowledge.Extensive knowledge of ML frameworks, libraries, data structures, data modeling and software architecture.	211500.0
1889	Software Engineer, AI Software and Systems	Menlo Park, CA	Nextera Logic LLC	$96 an hour	Rate*: $96/hr - $101/hr.Software Engineer, AI Software and Systems*.Position likely to extend at least to a year.MUST have roficiency in Python.	192000.0
1890	Statistical Programmer	Mountain View, CA 94043 (Moffett Boulevard area)	DEPT OF VETERANS AFFAIRS	$97,490 - $126,742 a year	The successful candidate will provide statistical programming and data analysis expertise on cooperative research studies in the Cooperative Studies Program …	112116.0
1891	Revolutionize AI as a Sr. Electrical Engineer	San Jose, CA	Qualitech Solutions	$85,000 - $115,000 a year	Design real-time digital signal processing systems to help resolve the major bottlenecks of AI at the edge: power consumption, cost, scalability and software…	100000.0
1892	Senior Machine Learning Engineer- AI/ML	Santa Clara, CA 95054	Avail Medsystems Inc.	$100,000 - $180,000 a year	Strong Computer Science fundamentals in data structures, algorithm design, and complexity analysis.Designing and implementing algorithms to solve critical…	140000.0
1893	Software Engineer III, Machine Learning, YouTube	Hybrid remote in Mountain View, CA	YouTube	$142,000 - $153,000 a year	2 years of experience with data structures or algorithms in either an academic or industry setting.We're looking for engineers who bring fresh ideas from all…	147500.0
1894	Senior AI Accelerator Compiler and Driver Engineer	Sunnyvale, CA 94089 (Lakewood area)	PicoAI US INC.	$110,000 - $300,000 a year	Take ownership to design, document, code, review, test, debug and qualify the embedded software and drivers for AI accelerator ASIC.	205000.0
1895	Principal ML & NLP Engineer	Remote in Santa Clara, CA 95054+9 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…	170000.0
1896	Machine Learning Engineer, Applied Health Signals	Mountain View, CA	Teladoc Health	$110,000 - $126,500 a year	Select appropriate datasets and data representation methods.In your role as a Machine Learning Engineer, you will work closely with machine learning scientists…	118250.0
1897	Hospital Senior Business Data Analyst	Cupertino, CA+1 location	Clinical Management Consultants	$121,980 - $149,273 a year	Experience in healthcare, enterprise data management, data warehousing, financial modeling, business intelligence or financial analytics reporting.	135626.5
1898	Scientist	Santa Clara, CA 95050	Roche	$30 - $36 an hour	Good data analysis skills and good documentation skills.This is a 6-month contracting position with a very high possibility of extension or conversion to full…	66000.0
1899	Technical Program Manager - 4311670	San Jose, CA 95113 (Downtown area)	Accenture	$70 - $100 an hour	Conduct weekly project meetings and follow ups with engineers, scientists and analysts.Accenture Flex employees work in their local metro area onsite at the…	170000.0
1900	TOXICOLOGY - SCIENTIST	Sunnyvale, CA	clinovo	$30 - $32 an hour	Assemble biocompatibility data and reports in support of regulatory filings.The Biological Safety Analyst is responsible for ensuring new product designs and…	62000.0
1901	Staff Scientist - ophthalmic	Fremont, CA 94538 (Baylands area)	Optovue / Luneau Technology USA	$130,000 - $165,000 a year	TheStaff scientist role in the Advanced Development Team provides an opportunity to work with a highly cross-functional group of scientists and engineers to…	147500.0
1902	Junior Data Scientist	San Jose, CA 95121 (Evergreen area)+10 locations	CyberCoders	$90,000 - $120,000 a year	Apply relevant data mining techniques and/or Machine Learning algorithms to improve product intelligence.Deliver the trained model to production design, build…	105000.0
1903	Senior Data Scientist	Santa Clara, CA	iTrending Solutions	$50 - $60 an hour	Knowledge of data analysis techniques.Experience in the implementation and validation of big data algorithms and models.Pay: $50.00 - $60.00 per hour.	110000.0
1904	Data Scientist	San Jose, CA	Digital Dhara LLC	$60 - $70 an hour	Familiarity with data management tools.Strong data management technology background.Big data: 5 years (Preferred).Here's how you'll contribute:	130000.0
1905	Data Scientist	Santa Clara, CA 95050	American nexus Trading inc	$60 - $65 an hour	Position : Service Now HRSD (Specialist ).Location : Santa Clara , CA ( onsite ).HR Delivery Manager \*\*\* Certified Implementation Specialist – HR (CIS-HR)…	125000.0
1906	Data Scientist, Operations Data Science	Hybrid remote in Mountain View, CA+3 locations	Google	$135,000 - $145,000 a year	2 years of relevant work experience (e.g., as a data scientist) or equivalent.4 years of relevant work experience (e.g., as a data scientist), including…	140000.0
1907	Mathematical Scientist	San Jose, CA 95131 (North Valley area)	Pit.AI Technologies Inc.	$150,000 a year	As such, you'll be involved in formulating fundamental questions arising as part of the investment process as mathematical problems consistent with our research…	150000.0
1908	Senior Data Scientist	Remote in Mountain View, CA	Lark Health	$148,000 a year	Confidence using a variety of techniques to analyze large streams of data to come to conclusions that improve the product and business.	148000.0
1909	Principal, Data Science/Analytics	San Jose, CA 95128 (Willow Glen area)	Splunk	$110,000 a year	Develop standardized data and insights to drive pricing decisions.Lead development of Tableau dashboards to surface and redefine data.	110000.0
1910	Junior Data Scientist	San Jose, CA 95121 (Evergreen area)+1 location	CyberCoders	$90,000 - $120,000 a year	Apply relevant data mining techniques and/or Machine Learning algorithms to improve product intelligence.Deliver the trained model to production design, build…	105000.0
1911	Staff Data Scientist	Remote in Mountain View, CA 94043+1 location	CyberCoders	$180,000 - $225,000 a year	Work closely with data engineers to implement data systems in production.8+ years data Science experience.Large data sets / distributed applications.	202500.0
1912	Data Scientist - Ads Optimization	Remote in Long Beach, CA	Comcentric	$139,000 - $225,000 a year	Proactively research data and identify opportunities in the data to drive the product roadmap.Helps identify ways to improve data quality and analysis.	182000.0
1913	BEST SENIOR DATA ANALYST IN THE WORLD WANTED	Newport Beach, CA 92663	Victory Advisory Firm	$100,000 - $120,000 a year	Coding knowledge and experience querying data sources using statistical computer languages both from internal data and 3rd party providers.	110000.0
1914	Associate Data & Machine Learning Engineer	Irvine, CA	Amazon Web Services, Inc.	$82,600 a year	Hands on experience working on large-scale data science/data analytics projects.Hands on experience with building data or machine learning pipeline.	82600.0
1915	Data Scientist	Seattle, WA 98164 (Downtown area)	Opanga Networks	From $65,000 a year	Enhancing data collection procedures to include information that is relevant for building analytic systems.Processing, cleansing, and verifying the integrity…	65000.0
1916	Data Scientist	Seattle, WA	Primary Talent Partners	$55 - $58 an hour	Strong Python coding skills for data analysis and modeling, including experience with standard data science packages (numpy, pandas, matplotlib, seaborn).	113000.0
1917	Data Scientist	Redmond, WA 98052 (Rose Hill area)	PROLIM Corporation	From $90 an hour	Analyze quantitative data from experiments to draw insights on core research problems.Minimum of 3 years experience analyzing and modeling data for human…	180000.0
1918	Data Scientist	Redmond, WA	sourcemantra	$63,247 - $123,235 a year	Good understanding of data protection laws and have a commitment to data protection and the ethical use of data.Ability to write production-grade Python.	93241.0
1919	Sr. Application Data Analyst	Seattle, WA 98104 (First Hill area)	Proliance Surgeons	$60,678 - $128,355 a year	Demonstrate knowledge in the application of data management practices, logical data design, data modeling and abstraction.	94516.5
1920	Senior Data Analyst	Seattle, WA	Click2Cloud, Inc.	$80,000 - $100,000 a year	Analyze and collect raw data, gather trends and insights and be able to present to stakeholders.Build power apps in and visualizations as needed in Power BI.	90000.0
1921	Staff Data Scientist, Platform - Slack	Seattle, WA	Salesforce	$150,200 a year	Experience in building advanced data pipelines and designing data scheme and table infrastructure.Prototype foundational data pipelines and partner with the…	150200.0
1922	Sr. Operations Research/Data Scientist - Inventory Placement	Seattle, WA+1 location	REI	$95,000 - $200,000 a year	You will have access to scalable cloud computing and data management tools.Dedicated resources on our Data Services team to acquire, plumb and optimize data…	147500.0
1923	Auth0 Senior Data Analyst, Web Strategy	Remote in Seattle, WA	Okta	$103,000 a year	Build data infrastructure based on existing marketing data sources.Work with multiple data sources to combine available data channels.	103000.0
1924	Senior Data Scientist at Rent-to-Own Startup	Remote in Seattle, WA 98105+1 location	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	155000.0
1925	Utility Analyst, Senior Utility Economist, Principal Utility...	Everett, WA 98203	Snohomish County PUD	$70,617 - $165,138 a year	Gathers data and researches various issues impacting the utility industry, new energy technologies and related utility industry issues.	117877.5
1926	Senior Data Scientist	Seattle, WA	Shelf Engine	$150,000 - $175,000 a year	Provide technical mentorship and expand training to improve data science best practices.Experience working with big data and standard tooling (e.g. Python, SQL…	162500.0
1927	Data Analyst 2 – Strategic Analytics	Seattle, WA	Nordstrom	Up to $112,700 a year	A day in the life… Partner with key stakeholders on data analysis problems.2+ years of corporate experience analyzing complex data, drawing conclusions, and…	112700.0
1928	Lead Data Scientist	Bellevue, WA	Tech Intellectuals	Up to $200,000 a year	Desirable - Experience in working as data scientist on any of BFSI related Critical use cases.Knowledge on Feature Engineering, Exploratory data analysis, Data…	200000.0
1929	Senior Data Scientist/Machine Learning Engineer	Seattle, WA+2 locations	Salesforce	$82,400 a year	Build tools to monitor data pipeline performance, data quality and models in production.Experience working as part of a data team working with mature data…	82400.0
1930	Senior Data Scientist/Machine Learning Engineer	Seattle, WA+1 location	Salesforce	$82,400 a year	Build tools to monitor data pipeline performance, data quality and models in production.Experience working as part of a data team working with mature data…	82400.0
1931	Machine Learning Engineer	Seattle, WA	Yellow Jacket	$90 - $110 an hour	Fast learner and experience with other common big data open source.Working with data pipelines and experience with Spark and Flink.Technologies is a big plus.	200000.0
1932	Applied Scientist, Autonomous Mobility	Seattle, WA	Amazon.com Services LLC	$142,800 - $184,000 a year	We are seeking an experienced Applied Scientist to join our team of motion planning scientists and engineers.PhD (OR Master's Degree plus 10+ years of industry…	163400.0
1933	Process Engineering Scientist-Data Management	Seattle, WA 98109 (South Lake Union area)	Eclaro	$79 - $85 an hour	Collaborate with data managers and engineers to specify data models and data API endpoints to enable development of R Shiny applications that facilitate non…	164000.0
1934	Data Science & Analytics Sourcing Recruiter	Seattle, WA+2 locations	Amazon.com Services LLC	$69,500 - $121,600 a year	They are the subject matter expert for the analytics job families such as Business Intelligence Engineers and Data Engineers, influencing direction of external…	95550.0
1935	Machine Learning Engineer (Contractor)	Bellevue, WA	OPPO US Research Center	$55,000 - $75,000 a year	Collaborate with machine learning scientists to deliver production ready features and products.Prototype and develop mobile intelligence features, products and…	65000.0
1936	Senior Data Scientist/Machine Learning Engineer	Remote in Seattle, WA 98105+11 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…	170000.0
1937	Senior Decision Scientist	Seattle, WA	Shelf Engine	$110,000 - $140,000 a year	Ability to take raw data from a variety of sources and transform it into actionable insights.Passion for data and using it to tell compelling stories, identify…	125000.0
1938	Associate Data & Machine Learning Engineer	Seattle, WA	Amazon Web Services, Inc.	$82,600 a year	Hands on experience working on large-scale data science/data analytics projects.Hands on experience with building data or machine learning pipeline.	82600.0
1939	Machine Learning Solutions Architect	Remote in Seattle, WA	REI	$85,000 - $170,000 a year	Demonstrated strength in data modeling, ETL development, and data warehousing using relational Database technologies like Snowflake, Bigquery, Redshift, Oracle,…	127500.0
1940	Data Plane Engineer	Remote in Queen Anne, WA+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.	170000.0
1941	Database/Data Infrastructure Engineer	Seattle, WA 98164 (Downtown area)	Hewlett Packard Enterprise	$112,900 - $209,200 a year	You can design, implement, and own highly optimized data-driven pipelines for real-time timeseries data streams.6+ years of work experience.	161050.0
1942	Developer Relations Engineer, Mobile and Embedded Machine Le...	Hybrid remote in Seattle, WA	Google	$109,000 - $117,000 a year	Bachelor's degree in Computer Science or equivalent practical experience as a software engineer or developer.Experience in creating MOOCs (e.g., massively open…	113000.0
1943	Principal Product Manager - Tech, Music Machine Learning	Seattle, WA	Amazon.com Services LLC	$179,900 - $243,400 a year	Using data and customer insights, you will envision and build delightful and revolutionary music discovery experiences.	211650.0
1944	Data Collection Associate I- Customer Support	Kirkland, WA 98052	Q Analyst	$15 - $20 an hour	The focus of ground truth data collection is to capture various types of data relating to humans, speech and environments to enable quality Artificial…	35000.0
1945	Senior/Lead/Principal Data Engineer	Seattle, WA	Salesforce	$98,900 a year	Drive data access methods & architect data services to improve the overall efficiency of data availability & accessibility for analytics.	98900.0
1946	Senior Machine Learning Engineer	Seattle, WA 98109 (Uptown area)	VIZIO, Inc.	$160,000 a year	Knowledge of batch and streaming data processing techniques.Expertise with big data technologies (Spark, Data Lake, Presto, Hive).	160000.0
1947	Principal ML & NLP Engineer	Remote in Seattle, WA 98105+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…	170000.0
1948	Principal Statistical Programmer	United States	AL2S3 LTD	$150,000 - $170,000 a year	George Higginson is exclusively working with an award winning, globally recognised partner who are looking for a Principal Statistical Programmer to join their…	160000.0
1949	Data Scientist	Remote in Bellevue, WA	ITExpertUS	$90,000 - $120,000 a year	Location: Onsite (Bellevue, WA) or Remote if non locals*.Complete accountability for delivering 1-2 projects from conception to implementation.	105000.0
1950	Senior/Lead Data Scientist	Seattle, WA+1 location	Salesforce	$82,400 a year	Each team is made up of data scientists, engineers, growth analysts, and information management experts who are dedicated to driving product strategy with data…	82400.0
1951	Senior Data Scientist - Ranking Team	Seattle, WA	Indeed	$147,000 - $213,000 a year	Proactively research data and identify opportunities in the data to drive the product roadmap.Helps identify ways to improve data quality and analysis.	180000.0
1952	Machine Learning Data Engineer	Temporarily Remote in Seattle, WA	IDC Technologies Inc.	$60 - $75 an hour	Proven track record of building and optimizing data sets, 'big data' data pipelines and architectures.Build the infrastructure required for optimal extraction,…	135000.0
1953	Database Administrator	Hybrid remote in Seattle, WA 98104	City of Seattle	$43.80 - $66.91 an hour	This position requires the ability to work with different stakeholders from multiple business units to understand business goals and objectives, technology…	110710.0
1954	Senior Data Scientist at Rent-to-Own Startup	Remote in Seattle, WA 98105+11 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	155000.0
1955	Principal, Data Science/Analytics	Seattle, WA 98103 (Green Lake - Wallingford area)	Splunk	$110,000 a year	Develop standardized data and insights to drive pricing decisions.Lead development of Tableau dashboards to surface and redefine data.	110000.0
1956	Data Science Manager	Remote in Seattle, WA	Shelf Engine	$175,000 - $215,000 a year	Experience leading data scientists and growing teams.Continuously improve the quality and accessibility of our data science capabilities.	195000.0
1957	Utility Economist, Senior or Principal Utility Economist or...	Everett, WA 98201 (Riverside area)	Snohomish County PUD No.1	$70,617 - $165,138 a year	Utility Economist, Senior Utility Economist, Principal Utility Economist, or Data Scientist (DOQ)*.Performs research, presents materials, and executes…	117877.5
1958	Utility Analyst, Senior Utility Economist, Principal Utility...	Everett, WA 98203	Snohomish County PUD	$70,617 - $165,138 a year	Progressive responsibilities include data gathering, cost of service analyses, ratemaking, deep understanding of large data sets and systems, data science,…	117877.5
1959	Machine Learning Engineer (Contractor)	Bellevue, WA	OPPO US Research Center	$55,000 - $75,000 a year	Collaborate with machine learning scientists to deliver production ready features and products.This team in Oppo Research Center (Seattle) focuses on research…	65000.0
1960	Data Scientist	Tampa, FL	Gridiron IT	Up to $170,000 a year	The data scientist is expected to participate in the design, development, and implementation of novel analytics to address a variety of customer problem sets.	170000.0
1961	Data Scientist	Remote in Tampa, FL	3GIMBALS	$77,000 - $147,500 a year	Maintain knowledge of emerging data science and data management trends.Develop data scraping scripts to pull open-source data automatically.	112250.0
1962	Sr. Data Scientist	Tampa, FL 33621 (MacDill AFB Area area)	Insight Global	Up to $160,000 a year	This Senior Data Engineer will play a vital role collaborating as part of this cross-functional Agile team to create and enhance data ingestion pipelines and…	160000.0
1963	Associate Data Scientist	Tampa, FL	Incedo	$60,000 - $80,000 a year	 Ability to articulate problem statements to formulate data science or analytics approaches. Good working knowledge of common data science toolkits, such as…	70000.0
1964	Data Scientist	Tampa, FL	Agensys Corporation	$150,000 - $185,000 a year	The data scientist is expected to participate in the design, development, and implementation of novel analytics to address a variety of customer problem sets.	167500.0
1965	Machine Learning Engineer	Tampa, FL	Dogwood Management Partners	$190,000 - $240,000 a year	Data pipelines: 1 year (Preferred).Machine learning / data science: 2 years (Preferred).The team’s mission is focused on task automation, data analytics, deep…	215000.0
1966	Statistical Data Analyst	Tampa, FL 33620 (Terrace Park area)	University of South Florida	$52,000 - $55,000 a year	Manages datasets and ensures data quality (data cleaning); combines, organized and cleans data collected from the field.	53500.0
1967	Senior Data Scientist at Rent-to-Own Startup	Remote in Clearwater, FL 33759+5 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	155000.0
1968	Senior Data Scientist/Machine Learning Engineer	Remote in Clearwater, FL 33759+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…	170000.0
1969	Data Scientist	Tampa, FL	WWC Global	$110,000 - $127,500 a year	Manage and integrate data across dissimilar data sets.Demonstrated experience applying data science methods to real-world data problems.	118750.0
1970	Data Plane Engineer	Remote in Clearwater, FL 33759	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.	170000.0
1971	Principal ML & NLP Engineer	Remote in Clearwater, FL 33759	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…	170000.0
1972	Senior Data Engineer at Startup ($1.3 B Valuation)	Remote in Clearwater, FL 33759	Recruiting From Scratch	$100,000 - $200,000 a year	Building expertise around Coda's data and helping grow this data gene among Codans.As a data engineer, you will help design, source, and build foundational…	150000.0
1973	Sr. Financial Analyst	Tampa, FL 33618	TogetherHealth	$80,000 - $90,000 a year	Partner with data scientists to leverage various analytic and reporting tools ?This role will assist in evaluating business processes and data to drive the…	85000.0
1974	Data Architect Senior USA	Hybrid remote in Tampa, FL	Veridic Solutions	$125,000 - $175,000 a year	In this role, you will lead the data platform architecture strategy to provide data solutions and infrastructure that enable business intelligence, AI/ML Ops,…	150000.0
1975	Senior Cryptographic Engineer (Cryptography Startup)	Remote in Clearwater, FL 33759	Recruiting From Scratch	$140,000 - $190,000 a year	We are interested in candidates at all levels from a fresh PhD graduate to experienced researchers / scientists / engineers.	165000.0
1976	Head of Engineering, Cryptography (Cryptography Startup)	Remote in Clearwater, FL 33759	Recruiting From Scratch	$200,000 - $250,000 a year	By operationalizing Privacy Enhancing Technologies (PETs), They enable secure analysis and AI on encrypted data — while complying with data privacy regulations…	225000.0
1977	Licensed Medicare Insurance Agent (Tampa, FL)	Tampa, FL	ASSURANCE	From $24 an hour	This is how we create custom-tailored plans for each customer; plans built precisely for their needs and budget.At least 4 health insurance state licenses.	48000.0
1978	Senior Data Scientist/Machine Learning Engineer	Remote in Clearwater, FL 33759+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…	170000.0
1979	Senior Data Scientist at Rent-to-Own Startup	Remote in Clearwater, FL 33759	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	155000.0
1980	Analytics Data science and IOT Lead	Tampa, FL	zettalogix.Inc	$50 - $60 an hour	Experience in handling large data, IoT data and Snowflake as data source.• Manage EDA (Exploratory Data Analysis), Data Sourcing/Cleansing, Data preprocessing…	110000.0
1981	Data Science Lead Analyst	Tampa, FL	Citi	$85,424 - $130,000 a year	Conduct data mining / query functions across relational or big data databases utilizing various data science tools and methods.	107712.0
1982	Data Plane Engineer	Remote in Clearwater, FL 33759	Recruiting From Scratch	$140,000 - $200,000 a year	Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…	170000.0
1983	Data Scientist	Tampa, FL	WWC Global	$110,000 - $127,500 a year	WWC Global is seeking a Data Scientist supporting the USSOCOM Command Data Office. The Data Scientist will have skills sets of both of a data analyst and data…	118750.0
